Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordX_origine;coordY_origine;epsg_origine;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;multi_uai;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_circonscription;code_zone_animation_pedagogique;libelle_zone_animation_pedagogique;code_bassin_formation;libelle_bassin_formation
9740496W;Ecole primaire privée catholique Saint Joseph Bras Canot;Ecole;Privé;57 route départementale 54;BRAS CANOT;97470 ST BENOIT;97470;97410;Saint-Benoît;974;28;04;1;1;;;;0262503378;;;ce.9740496w@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;38094650900011;;;-21.048901044765117, 55.68742108479097;CONTRAT D'ASSOCIATION TOUTES CLASSES;La Réunion;La Réunion;La Réunion;363620.8;7671879.2;EPSG:2975;Circonscription d'inspection du 1er degré de Bras-Panon;-21.048901044765117;55.68742108479097;Rue;1968-10-15;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;9740083X;;;9741305A;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9740503D;Ecole primaire privée Saint Gabriel;Ecole;Privé;9 rue Rodier;;97410 ST PIERRE;97410;97416;Saint-Pierre;974;28;04;1;1;;;;0692674345;;;ce.9740503d@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;32479062500010;;;-21.33697726958218, 55.47766875028502;CONTRAT D'ASSOCIATION TOUTES CLASSES;La Réunion;La Réunion;La Réunion;342130.0;7639794.2;EPSG:2975;Circonscription d'inspection du 1er degré de Petite Ile;-21.33697726958218;55.47766875028502;Numéro de rue;1968-10-15;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;9740811N;;;9741508W;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740517U;Ecole primaire privée Sainte Vivienne;Ecole;Privé;11 rue Sainte Vivienne;QUARTIER FRANCAIS;97441 STE SUZANNE;97441;97420;Sainte-Suzanne;974;28;04;1;1;;;;0262465325;;;ce.9740517u@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;31925256500019;;;-20.935217031272554, 55.63640408520052;CONTRAT D'ASSOCIATION TOUTES CLASSES;La Réunion;La Réunion;La Réunion;358212.0;7684419.1;EPSG:2975;Circonscription d'inspection du 1er degré de Sainte Suzanne;-20.935217031272554;55.63640408520052;Numéro de rue;1968-10-15;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;9741270M;;;9741539E;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740244X;Ecole élémentaire publique Candide Azema A;Ecole;Public;Rue Victor Hugo;;97400 ST DENIS;97400;97411;Saint-Denis;974;28;04;0;1;;;;0262303525;;;ce.9740244X@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974011501310;;;-20.893303411368315, 55.465453359819605;SANS OBJET;La Réunion;La Réunion;La Réunion;340389.0;7688898.3;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 3;-20.893303411368315;55.465453359819605;Rue;1964-09-11;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740645H;;;9740086A;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740038Y;Ecole primaire publique Benjamin Hoareau;Ecole;Public;30 rue Charles Fournier;;97420 LE PORT;97420;97407;Le Port;974;28;04;1;1;;;;0262432781;;;ce.9740038Y@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP+;;21974007300271;;;-20.950430021189657, 55.3075433286553;SANS OBJET;La Réunion;La Réunion;La Réunion;324027.8;7682408.9;EPSG:2975;Circonscription d'inspection du 1er degré du Port;-20.950430021189657;55.3075433286553;Numéro de rue;1989-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740812P;;;9740815T;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740117J;Ecole primaire publique  Philibert Commerson;Ecole;Public;252 route Gabriel Macé;LA BRETAGNE;97490 ST DENIS;97490;97411;Saint-Denis;974;28;04;1;1;;;;0262525224;;;ce.9740117J@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974011500031;;;-20.926247299143352, 55.493476709339646;SANS OBJET;La Réunion;La Réunion;La Réunion;343338.5;7685279.0;EPSG:2975;Circonscription d'inspection du 1er degré de Sainte Marie;-20.926247299143352;55.493476709339646;Numéro de rue;1968-09-11;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741260B;;;9740088C;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740121N;Ecole primaire publique Brulé;Ecole;Public;11 chemin des  Frangipaniers;LE BRULE;97400 ST DENIS;97400;97411;Saint-Denis;974;28;04;1;1;;;;0262230116;;;ce.9740121N@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974011500056;;;-20.92384739498699, 55.43486661372338;SANS OBJET;La Réunion;La Réunion;La Réunion;337240.0;7685486.3;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 5;-20.92384739498699;55.43486661372338;Numéro de rue;1968-09-10;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740595D;;;9741067S;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740126U;Ecole maternelle publique Michel Debré;Ecole;Public;8 rue Indiana;;97490 ST DENIS;97490;97411;Saint-Denis;974;28;04;1;0;;;;0262280078;;;ce.9740126U@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974011500189;;;-20.892169879528968, 55.48582998420128;SANS OBJET;La Réunion;La Réunion;La Réunion;342507.6;7689043.9;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 2;-20.892169879528968;55.48582998420128;Numéro de rue;1968-09-10;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740645H;;;9740062Z;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740136E;Ecole élémentaire publique Candide Azema B;Ecole;Public;28 bd Notre Dame de la Trinité;;97400 ST DENIS;97400;97411;Saint-Denis;974;28;04;0;1;;;;0262563481;;;ce.9740136E@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP+;;21974011500122;;;-20.892943420010987, 55.465502198578;SANS OBJET;La Réunion;La Réunion;La Réunion;340393.7;7688938.2;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 3;-20.892943420010987;55.465502198578;Numéro de rue;1968-09-11;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740645H;;;9740086A;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740140J;Ecole élémentaire publique Paul Hermann;Ecole;Public;55 avenue du Général de Gaulle;BP 21;97425 LES AVIRONS;97425;97401;Les Avirons;974;28;04;0;1;;;;0262346250;;;ce.9740140J@ac-reunion.fr;1;0;1;;;;;;;;;;;;;;;21974001600148;;;-21.241632185611785, 55.333022066087985;SANS OBJET;La Réunion;La Réunion;La Réunion;327015.2;7650198.0;EPSG:2975;Circonscription d'inspection du 1er degré Avirons-l'étang-salé-Le Gol;-21.241632185611785;55.333022066087985;Numéro de rue;1968-09-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741387P;;;9741362M;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
