Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordX_origine;coordY_origine;epsg_origine;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;multi_uai;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_circonscription;code_zone_animation_pedagogique;libelle_zone_animation_pedagogique;code_bassin_formation;libelle_bassin_formation;Webradio détectée;Indice trouvé;URL de détection
9741088P;Collège privé Marthe Robin;Collège;Privé;136 rue Jules Bertaut;;;97430;97422;Le Tampon;974;28;04;;;0;0;0;02 62 83 18 38;02 62 59 89 72;http://www.martherobin.re/;ce.9741088p@ac-reunion.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;35245587700014;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1012;-21.279814654584726, 55.518353032266454;CONTRAT ASSOCIATION PARTIE DES CLASSES;La Réunion;La Réunion;La Réunion;346290.3;7646162.6;EPSG:2975;;-21.279814654584726;55.518353032266454;Numéro de rue;1989-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;31;9741581A;;;;974006;BASSIN D'EDUCATION ET DE FORMATION SUD-E;28015;BASSIN D'ETUDE ET DE FORMATION SUD;Non;;
9740479C;Lycée professionnel Amiral Lacaze;Lycée;Public;1 avenue Stanislas Gimart;BP 192;;97493;97411;Saint-Denis;974;28;04;;;0;0;1;02 62 28 37 75;;https://etab.ac-reunion.fr/lyc-amiral-lacaze;ce.9740479c@ac-reunion.fr;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;;1;19974479800018;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4976;-20.89205560468384, 55.47591964282426;SANS OBJET;La Réunion;La Réunion;La Réunion;341476.5;7689046.8;EPSG:2975;;-20.89205560468384;55.47591964282426;Numéro de rue;1970-06-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;320;LYCEE PROFESSIONNEL;99;9740645H;;;;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD;Oui;Mot-clé: webradio;https://etab.ac-reunion.fr/lyc-amiral-lacaze
9741346V;Collège Ligne des Bambous;Collège;Public;37 rue Félix Baillif;Ligne des bambous;;97432;97416;Saint-Pierre;974;28;04;;;0;0;0;02 62 55 19 30;02 62 55 19 40;https://etab.ac-reunion.fr/clg-ligne-des-bambous;ce.9741346v@ac-reunion.fr;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;REP;0;20001114600012;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17968;-21.29797491776404, 55.494852849027374;SANS OBJET;La Réunion;La Réunion;La Réunion;343871.1;7644129.1;EPSG:2975;;-21.29797491776404;55.494852849027374;Numéro de rue;2008-01-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;9740027L;;;;974006;BASSIN D'EDUCATION ET DE FORMATION SUD-E;28015;BASSIN D'ETUDE ET DE FORMATION SUD;Non;;
9741050Y;Lycée général et technologique Louis Payen;Lycée;Public;329 rue Saint-Louis;BP 114;;97863;97415;Saint-Paul;974;28;04;;;1;1;0;02 62 22 56 39;02 62 45 62 48;https://etab.ac-reunion.fr/lyc-louis-payen;ce.9741050y@ac-reunion.fr;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;;1;19974150500010;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4977;-21.000529435017643, 55.281434349157884;SANS OBJET;La Réunion;La Réunion;La Réunion;321372.1;7676833.5;EPSG:2975;;-21.000529435017643;55.281434349157884;Numéro de rue;1991-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;99;9740093H;;;;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST;Non;;
9741052A;Lycée polyvalent Gérard Ethève;Lycée;Public;Chemin départemental 11;BP 17;;97424;97413;Saint-Leu;974;28;04;;;1;1;1;02 62 34 20 20;02 62 34 20 18;https://etab.ac-reunion.fr/lyc-gerard-etheve;ce.9741052a@ac-reunion.fr;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;;1;19974152100017;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15547;-21.167091437420737, 55.287350417601395;SANS OBJET;La Réunion;La Réunion;La Réunion;322185.5;7658399.9;EPSG:2975;;-21.167091437420737;55.287350417601395;Ville;1994-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;306;LYCEE POLYVALENT;99;9740546A;;;;974005;BASSIN D'EDUCATION ET DE FORMATION SUD-O;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST;Oui;Player youtube.com;https://etab.ac-reunion.fr/lyc-gerard-etheve/dispositif-un-trimestre-un-livre/
9741380G;Lycée polyvalent Paul Vergès;Lycée;Public;Canal Traverse;BP 20;;97411;97415;Saint-Paul;974;28;04;;;1;1;1;02 62 33 06 50;02 62 33 17 22;https://etab.ac-reunion.fr/lyc-saint-paul4;ce.9741380G@ac-reunion.fr;1;1;1;1;0;0;1;0;1;0;1;0;0;0;1;;1;20000564300016;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15075;-20.978320417720937, 55.31721038832109;SANS OBJET;La Réunion;La Réunion;La Réunion;325065.6;7679331.8;EPSG:2975;;-20.978320417720937;55.31721038832109;Numéro de rue;2007-06-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;306;LYCEE POLYVALENT;99;9740093H;;;;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST;Oui;Player youtube.com;https://etab.ac-reunion.fr/lyc-saint-paul4/reglement-interieur-du-cdi/
9740001H;Lycée général et technologique Leconte de Lisle;Lycée;Public;3 allée des étudiants;Cité scolaire du Butor, BP 40037;;97490;97411;Saint-Denis;974;28;04;;;1;1;0;02 62 94 79 20;02 62 94 79 21;https://etab.ac-reunion.fr/lyc-leconte-de-lisle;ce.9740001h@ac-reunion.fr;1;1;0;0;0;1;1;0;1;1;1;0;0;0;1;;1;19974001000020;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9439;-20.88738991843578, 55.4697562920468;SANS OBJET;La Réunion;La Réunion;La Réunion;340830.4;7689557.2;EPSG:2975;;-20.88738991843578;55.4697562920468;Numéro de rue;1965-11-23;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;99;9740081V;;;;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD;Oui;Player youtube.com;https://etab.ac-reunion.fr/lyc-leconte-de-lisle
9740011U;Collège Hégésippe Hoarau;Collège;Public;3 rue de la place des Fêtes;BP 51;;97899;97414;Saint-Louis;974;28;04;;;0;0;0;02 62 39 02 57;02 62 39 07 61;https://etab.ac-reunion.fr/clg-hegesippe-hoarau;ce.9740011u@ac-reunion.fr;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;;0;19974011900011;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1028;-21.260157353842665, 55.43711579804383;SANS OBJET;La Réunion;La Réunion;La Réunion;337839.5;7648257.5;EPSG:2975;;-21.260157353842665;55.43711579804383;Rue;1965-11-23;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;9740011U;;;;974005;BASSIN D'EDUCATION ET DE FORMATION SUD-O;28015;BASSIN D'ETUDE ET DE FORMATION SUD;Oui;Player youtube.com;https://etab.ac-reunion.fr/clg-hegesippe-hoarau/demandes-de-bourse/
9741047V;Collège la Marine;Collège;Public;4 route de la Marine;;;97480;97412;Saint-Joseph;974;28;04;;;0;0;0;02 62 37 20 39;02 62 37 27 66;https://etab.ac-reunion.fr/clg-la-marine;ce.9741047v@ac-reunion.fr;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;REP;1;19974147100015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11782;-21.37601235908683, 55.666539906341406;SANS OBJET;La Réunion;La Réunion;La Réunion;361755.9;7635650.7;EPSG:2975;;-21.37601235908683;55.666539906341406;Numéro de rue;1992-08-27;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;9740468R;;;;974006;BASSIN D'EDUCATION ET DE FORMATION SUD-E;28015;BASSIN D'ETUDE ET DE FORMATION SUD;Oui;Mot-clé: webradio;https://etab.ac-reunion.fr/clg-la-marine/?cat=5
9740702V;Collège Hubert Delisle;Collège;Public;79 rue Montfleury;;;97470;97410;Saint-Benoît;974;28;04;;;0;0;0;02 62 50 15 65;02 62 50 63 76;https://etab.ac-reunion.fr/clg-hubert-delisle;ce.9740702v@ac-reunion.fr;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;REP+;0;19974702300018;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15042;-21.032460287583415, 55.708168186384896;SANS OBJET;La Réunion;La Réunion;La Réunion;365762.0;7673716.7;EPSG:2975;;-21.032460287583415;55.708168186384896;Numéro de rue;1976-02-02;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;9740083X;;;;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST;Oui;Player youtube.com;https://etab.ac-reunion.fr/clg-hubert-delisle/pix/
