UAI;Nom de l'établissement;Type;Commune;Site web;Statut détection;Indice trouvé;URL de détection
﻿9740001H;Lyc Leconte de Lisle;;;https://etab.ac-reunion.fr/lyc-leconte-de-lisle;Oui;Player youtube.com;https://etab.ac-reunion.fr/lyc-leconte-de-lisle/
9740002J;Lyc Roland Garros;;;https://etab.ac-reunion.fr/lyc-roland-garros;Oui;Player youtube.com;https://etab.ac-reunion.fr/lyc-roland-garros/formations/bac-technologique/
9740004L;LP Roches Maigres;;;https://etab.ac-reunion.fr/lyc-roches-maigres;Non;;https://etab.ac-reunion.fr/lyc-roches-maigres
9740005M;Clg Adrien Cadet;;;https://etab.ac-reunion.fr/clg-adrien-cadet;Non;;https://etab.ac-reunion.fr/clg-adrien-cadet
9740006N;Clg Le Dimitile;;;https://etab.ac-reunion.fr/clg-le-dimitile;Non;;https://etab.ac-reunion.fr/clg-le-dimitile
9740011U;Clg Hégésippe Hoarau;;;https://etab.ac-reunion.fr/clg-hegesippe-hoarau;Oui;Player youtube.com;https://etab.ac-reunion.fr/clg-hegesippe-hoarau/demandes-de-bourse/
9740012V;Clg Le Ruisseau;;;https://etab.ac-reunion.fr/clg-le-ruisseau;Non;;https://etab.ac-reunion.fr/clg-le-ruisseau
9740015Y;LP Vue Belle;;;https://etab.ac-reunion.fr/lyc-vue-belle;Non;;https://etab.ac-reunion.fr/lyc-vue-belle
9740018B;Clg Harry Gruchet - La Chaloupe;;;https://etab.ac-reunion.fr/clg-harry-gruchet-la-chaloupe;Oui;Player youtube.com;https://etab.ac-reunion.fr/clg-harry-gruchet-la-chaloupe/olympiades-des-sciences-de-lingenieur/
9740019C;Lyc Ambroise Vollard;;;https://etab.ac-reunion.fr/lyc-ambroise-vollard;Oui;Player youtube.com;https://etab.ac-reunion.fr/lyc-ambroise-vollard/
9740020D;LP Victor Schoelcher;;;https://etab.ac-reunion.fr/lyc-victor-schoelcher;Oui;Player youtube.com;https://etab.ac-reunion.fr/lyc-victor-schoelcher/projets-deducation-artistique-et-culturel/
9740022F;Clg Adrien Cerneau;;;https://etab.ac-reunion.fr/clg-adrien-cerneau;Non;;https://etab.ac-reunion.fr/clg-adrien-cerneau
9740027L;Clg Ravine des Cabris;;;https://etab.ac-reunion.fr/clg-ravine-des-cabris;Oui;Mot-clé: émission radio;https://etab.ac-reunion.fr/clg-ravine-des-cabris/2024/04/20/visite-au-musee-stella/
9740035V;Clg Célimène Gaudieux;;;https://etab.ac-reunion.fr/clg-celimene-gaudieux;Oui;Player youtube.com;https://etab.ac-reunion.fr/clg-celimene-gaudieux/
9740036W;Clg Terrain Fleury;;;https://etab.ac-reunion.fr/clg-terrain-fleury;Non;;https://etab.ac-reunion.fr/clg-terrain-fleury
